trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,10,-21.321921112331733,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,10,-95.66314225687465,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,10,-45.08342846698657,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,10,-154.18757295804727,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,10,-53.44191963762768,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,10,-73.4580207429696,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,10,-116.63515119307279,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,10,-20.974352257801215,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,10,-235.3105150511072,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,10,-9.29280808251887,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,10,-45.20670797143844,"{0: 11, 1: 1, 2: 0, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,10,-168.4322987814954,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,10,-117.10301965271144,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,10,-49.416919899135216,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,10,-122.90952668216727,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,10,-2.2269464663917167,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,10,9.259731404602977,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,10,-83.19019199300698,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,10,-20.167231678452374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-85.739548207739,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,10,-78.0334102227536,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,10,-94.15856026682579,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,10,-50.68317025423407,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,10,-74.97109421452302,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,10,-46.96485334988222,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
