trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.22, 'e': 0.9988882709181132}",25,10,-98.45371097018295,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.22, 'e': 0.9977753031397177}",35,10,-68.41606082911665,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.22, 'e': 0.9966610925150703}",25,10,2.4558806912418385,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.22, 'e': 0.9955456348712053}",35,10,-184.5138911522221,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.22, 'e': 0.9944289260117533}",30,10,-104.20809621541808,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.22, 'e': 0.993310961716756}",20,10,-94.78533287449264,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.22, 'e': 0.9921917377424812}",25,10,-84.53264112824498,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.22, 'e': 0.9910712498212337}",25,10,-65.33287304736068,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.22, 'e': 0.9899494936611666}",25,10,-32.30179849262245,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.22, 'e': 0.9888264649460884}",20,10,16.563744244136952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.22, 'e': 0.9877021593352702}",20,10,-22.409263175751605,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.22, 'e': 0.9865765724632494}",30,10,-58.11033198864859,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.22, 'e': 0.985449699939632}",20,10,-58.0264091259857,"{0: 6, 1: 1, 2: 0, 3: 3, 4: 0}",0
14,False,"{'a': 0.22, 'e': 0.9843215373488932}",25,10,-89.2972116683024,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.22, 'e': 0.9831920802501748}",20,10,-50.965997625550656,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.22, 'e': 0.982061324177082}",20,10,-51.75095674988775,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.22, 'e': 0.9809292646374771}",30,10,-120.67317173452415,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.22, 'e': 0.9797958971132709}",30,10,-94.97730104989172,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.22, 'e': 0.9786612170602128}",20,10,-40.895660445355205,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.22, 'e': 0.9775252199076783}",20,10,-26.40963913187606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.22, 'e': 0.9763879010584535}",25,10,-74.55526617715972,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.22, 'e': 0.9752492558885191}",20,10,-49.79219936161764,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.22, 'e': 0.97410927974683}",30,10,-72.85457639753538,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.22, 'e': 0.9729679679550944}",20,10,-13.432267247372094,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.22, 'e': 0.9718253158075496}",25,10,-68.90984818838787,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.22, 'e': 0.9706813185707353}",25,13,-4.146168561260428,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.22, 'e': 0.9695359714832653}",25,10,-60.57439829775247,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.22, 'e': 0.9683892697555961}",30,10,-33.250259285741066,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.22, 'e': 0.9672412085697933}",30,10,-136.1027263864052,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.22, 'e': 0.9660917830792953}",25,10,-90.3253981795322,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.22, 'e': 0.9649409884086747}",20,10,-45.3202353279883,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",0
32,False,"{'a': 0.22, 'e': 0.9637888196533968}",20,10,-63.824323133433644,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.22, 'e': 0.9626352718795762}",25,10,-41.50532107029852,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.22, 'e': 0.96148034012373}",20,10,-45.89315898727784,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.22, 'e': 0.9603240193925283}",20,10,-10.950701579818393,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.22, 'e': 0.9591663046625433}",30,10,-79.95247868953614,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.22, 'e': 0.9580071908799936}",20,10,-50.439032333565045,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.22, 'e': 0.9568466729604876}",20,10,-40.25594674810473,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.22, 'e': 0.9556847457887627}",25,10,11.189751388944428,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.22, 'e': 0.9545214042184228}",20,10,-69.61874533382736,"{0: 3, 1: 1, 2: 5, 3: 1, 4: 0}",0
41,False,"{'a': 0.22, 'e': 0.953356643071672}",25,10,-21.094986750588497,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.22, 'e': 0.9521904571390459}",25,10,-38.97796373633167,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.22, 'e': 0.9510228411791396}",20,10,-9.884416493013726,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.22, 'e': 0.949853789918333}",30,10,-69.47215577126893,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.22, 'e': 0.948683298050513}",25,10,-60.60350633955815,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.22, 'e': 0.9475113602367922}",20,10,-35.09842815836002,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.22, 'e': 0.9463379711052251}",20,10,-27.20756296212423,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.22, 'e': 0.9451631252505208}",30,10,-65.06034193486188,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.22, 'e': 0.9439868172337522}",25,10,-48.48190349793793,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",0
50,False,"{'a': 0.22, 'e': 0.9428090415820625}",20,10,-17.39215495774592,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.22, 'e': 0.941629792788368}",30,10,-71.88431827411195,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.22, 'e': 0.940449065311058}",20,10,-89.06307328868505,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.22, 'e': 0.9392668535736904}",20,10,-75.41518991354249,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",0
