trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,10,-65.75105786427469,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,13,-61.86849352293381,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.94}",25,10,-24.260078055094525,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,10,-105.23167518448375,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,10,-39.867221934136396,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,10,-73.66536962433989,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",35,10,-180.2190700353483,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,10,-39.53982478705691,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,10,-14.80523914132313,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-9.063595836804183,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,10,-158.78535875143046,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,10,-62.26483990681952,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,10,-69.99204217406512,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,10,-33.160062411072204,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,10,-12.66944648277164,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,10,-3.4509637051870135,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,10,-6.807522211843622,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,10,-72.97662218736293,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,10,-29.797383851304357,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,10,-88.66065365662911,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,10,-130.3153402262023,"{0: 10, 1: 0, 2: 6, 3: 4, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,10,-119.6120853710764,"{0: 3, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,10,-22.492936590486927,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,10,-37.418959229843914,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,10,-108.03752545365307,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,10,-35.08069136602091,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,10,-45.46383180836249,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,10,-84.16249259638862,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,10,-112.76253401795091,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,10,-90.74074641658774,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 1}",0
